HOSTNAME,TIME,NET,MEM,CPU
host-10-9-3-167,1432689051,2825108,369552,0.14
host-10-9-3-168,1432689053,2375084,478092,0.67
mosix1.curs.pub.ro,1432689053,2846128,506116,0.52
host-10-9-3-167,1432689053,2825108,369528,0.14
host-10-9-3-168,1432689054,2375084,478240,0.67
mosix1.curs.pub.ro,1432689055,2846132,506108,0.52
host-10-9-3-167,1432689054,2825112,369528,0.14
host-10-9-3-168,1432689056,2375088,478092,0.62
mosix1.curs.pub.ro,1432689056,2846132,506224,0.52
host-10-9-3-167,1432689056,2825116,369528,0.13
host-10-9-3-168,1432689057,2375092,478092,0.62
mosix1.curs.pub.ro,1432689057,2846136,506348,0.52
host-10-9-3-167,1432689057,2825116,369652,0.13
host-10-9-3-168,1432689059,2375096,478364,0.62
mosix1.curs.pub.ro,1432689059,2846136,506340,0.48
host-10-9-3-167,1432689058,2825120,369528,0.13
host-10-9-3-168,1432689060,2375100,478100,0.73
mosix1.curs.pub.ro,1432689060,2846140,506588,0.48
host-10-9-3-167,1432689060,2825120,369536,0.12
host-10-9-3-168,1432689062,2375100,478240,0.73
mosix1.curs.pub.ro,1432689062,2846140,506340,0.48
host-10-9-3-167,1432689061,2825128,369676,0.12
host-10-9-3-168,1432689063,2375104,478372,0.73
mosix1.curs.pub.ro,1432689063,2846144,506712,0.60
host-10-9-3-167,1432689063,2825128,369652,0.12
host-10-9-3-168,1432689064,2375104,478480,0.73
mosix1.curs.pub.ro,1432689065,2846148,506752,0.60
host-10-9-3-167,1432689064,2825132,369900,0.12
host-10-9-3-168,1432689066,2375108,478232,0.67
mosix1.curs.pub.ro,1432689066,2846152,506720,0.60
host-10-9-3-167,1432689066,2825132,370024,0.11
host-10-9-3-168,1432689067,2375108,478488,0.67
mosix1.curs.pub.ro,1432689068,2846152,506868,0.60
host-10-9-3-167,1432689067,2825136,369900,0.11
host-10-9-3-168,1432689069,2375112,478488,0.67
mosix1.curs.pub.ro,1432689069,2846156,506736,0.55
host-10-9-3-167,1432689068,2825136,370040,0.11
host-10-9-3-168,1432689070,2375116,477588,0.78
mosix1.curs.pub.ro,1432689070,2846156,506968,0.55
host-10-9-3-167,1432689070,2825140,370032,0.10
host-10-9-3-168,1432689072,2375116,477588,0.78
mosix1.curs.pub.ro,1432689072,2846160,506876,0.55
host-10-9-3-167,1432689071,2825140,370048,0.10
host-10-9-3-168,1432689073,2375120,477604,0.78
mosix1.curs.pub.ro,1432689073,2846160,506992,0.59
host-10-9-3-167,1432689073,2825144,370148,0.10
host-10-9-3-168,1432689074,2375124,477580,0.78
mosix1.curs.pub.ro,1432689075,2846164,506852,0.59
host-10-9-3-167,1432689074,2825144,370148,0.10
host-10-9-3-168,1432689076,2375128,477720,0.72
mosix1.curs.pub.ro,1432689076,2846168,507240,0.59
host-10-9-3-167,1432689076,2825148,370412,0.09
host-10-9-3-168,1432689077,2375128,477316,0.72
mosix1.curs.pub.ro,1432689078,2846172,506976,0.59
host-10-9-3-167,1432689077,2825152,370280,0.09
host-10-9-3-168,1432689104,2375132,477160,0.47
mosix1.curs.pub.ro,1432689104,2846172,507092,0.42
host-10-9-3-167,1432689103,2825152,370396,0.06
host-10-9-3-168,1432689105,2375132,477712,0.43
mosix1.curs.pub.ro,1432689105,2846180,507084,0.42
host-10-9-3-167,1432689105,2825156,370312,0.05
host-10-9-3-168,1432689107,2375136,477844,0.43
mosix1.curs.pub.ro,1432689107,2846180,507092,0.42
host-10-9-3-167,1432689106,2825156,370172,0.05
host-10-9-3-168,1432689108,2375144,477712,0.43
mosix1.curs.pub.ro,1432689108,2846184,507208,0.39
host-10-9-3-167,1432689108,2825160,370420,0.05
host-10-9-3-168,1432689109,2375144,477844,0.43
mosix1.curs.pub.ro,1432689110,2846188,507348,0.39
host-10-9-3-167,1432689109,2825160,370404,0.05
host-10-9-3-168,1432689111,2375148,477448,0.40
mosix1.curs.pub.ro,1432689111,2846192,507332,0.39
host-10-9-3-167,1432689111,2825164,370420,0.05
host-10-9-3-168,1432689137,2375148,477308,0.26
mosix1.curs.pub.ro,1432689137,2846192,507496,0.25
host-10-9-3-167,1432689137,2825164,370396,0.03
host-10-9-3-168,1432689139,2375152,477828,0.26
mosix1.curs.pub.ro,1432689139,2846196,507340,0.47
host-10-9-3-167,1432689138,2825168,370644,0.03
host-10-9-3-168,1432689140,2375156,477984,0.24
mosix1.curs.pub.ro,1432689140,2846196,507472,0.47
host-10-9-3-167,1432689140,2825168,370528,0.03
host-10-9-3-168,1432689142,2375160,477952,0.24
mosix1.curs.pub.ro,1432689142,2846200,507744,0.47
host-10-9-3-167,1432689141,2825176,370520,0.03
host-10-9-3-168,1432689143,2375160,477952,0.24
mosix1.curs.pub.ro,1432689143,2846200,507464,0.52
host-10-9-3-167,1432689143,2825176,370644,0.03
host-10-9-3-168,1432689144,2375168,477448,0.24
mosix1.curs.pub.ro,1432689145,2846204,507604,0.52
host-10-9-3-167,1432689144,2825184,370776,0.03
host-10-9-3-168,1432689171,2375168,476896,0.15
mosix1.curs.pub.ro,1432689171,2846204,507828,0.34
host-10-9-3-167,1432689171,2825184,370768,0.02
host-10-9-3-168,1432689172,2375172,478844,0.15
mosix1.curs.pub.ro,1432689173,2846208,507720,0.34
